company_permalink;company_name;company_category_code;company_country_code;company_state_code;company_region;company_city;acquirer_permalink;acquirer_name;acquirer_category_code;acquirer_country_code;acquirer_state_code;acquirer_region;acquirer_city;price_amount;id
/company/hellosoft;HelloSoft;network_hosting;USA;CA;San Francisco;San Jos��;/company/imagination-technologies;Imagination Technologies;semiconductor;GBR;;Kings Langley;Kings Langley;47000000;2851
/company/helm-software;Helm Software;software;USA;AZ;Phoenix;Phoenix;/company/answers-systems;Answers Systems;software;USA;FL;Tampa;Oldsmar;;2852
/company/help-a-reporter-out-haro;Help A Reporter Out / HARO;;;;unknown;;/company/vocus;Vocus;software;USA;MD;Washington DC;Beltsville;;2853
/company/helpersunite;HelpersUnite;ecommerce;USA;NY;New York;Brooklyn;/company/earlyshares;EarlyShares;finance;USA;NY;Miami;Miami;;2854
/company/helsinki;Helsinki;software;;;unknown;;/company/broadsoft;BroadSoft;software;USA;MD;Washington DC;Gaithersburg;;2855
/company/helzberg-diamonds;Helzberg Diamonds;;;;unknown;;/company/berkshire-hathaway-corp;Berkshire Hathaway Corp.;;USA;NE;Omaha;Omaha;;2856
/company/hemerus-medical;Hemerus Medical;biotech;USA;MN;Minneapolis;St. Paul;/company/haemonetics;Haemonetics;biotech;USA;MA;Boston;Braintree;27000000;2857
/company/heritage-security-services;Heritage Security Services;security;USA;CA;San Diego;San Diego;/company/universal-protection-service;Universal Protection Service;security;USA;CA;Los Angeles;Santa Ana;;2858
/company/heyride;Heyride;web;;;unknown;;/company/side-cr;Side.Cr;mobile;USA;CA;SF Bay;San Francisco;;2859
/company/heysan;Heysan;messaging;USA;CA;SF Bay;San Francisco;/company/good-technology;Good Technology;mobile;USA;CA;SF Bay;Sunnyvale;;2860
/company/hi-tech-pharmacal;Hi-Tech Pharmacal;biotech;USA;NY;Amityville;Amityville;/company/akorn;Akorn;biotech;USA;IL;Chicago;Lake Forest;640000000;2861
/company/hi-tech-software;HI-TECH Software;software;AUS;;Acacia Ridge;Acacia Ridge;/company/microchip-technologies;Microchip Technologies;semiconductor;USA;AZ;Phoenix;Chandler;;2862
/company/hi5;hi5;games_video;USA;CA;SF Bay;San Francisco;/company/tagged;Tagged;social;USA;CA;SF Bay;San Francisco;;2863
/company/hiclip-tv;hiclip.tv;;;;unknown;;/company/adconion-media-group;Adconion Media Group;advertising;USA;CA;Los Angeles;Santa Monica;;2864
/company/hifn;Hifn;network_hosting;USA;CA;SF Bay;Los Gatos;/company/exar;EXAR;semiconductor;USA;CA;SF Bay;Fremont;63230000;2865
/company/high-performance-technologies-hpti;High Performance Technologies (HPTi);other;USA;VA;Washington DC;Reston;/company/dynamics-research;Dynamics Research;consulting;USA;MA;Boston;Andover;143000000;2866
/company/high-tower-software;High Tower Software;security;USA;CA;Los Angeles;Aliso Viejo;/company/blackstratus;BlackStratus;software;USA;NJ;Edison;Edison;;2867
/company/highjump-software;HighJump Software;software;USA;MN;Minneapolis;Minneapolis;/company/3m;3M;enterprise;USA;MN;Minneapolis;St Paul;;2868
/company/highline-financial;Highline Financial;;USA;TX;Austin;Austin;/company/reuters;Reuters;;USA;NY;New York;New York;;2869
/company/hindusthan-national-glass-industries;Hindusthan National Glass & Industries;;IND;;Mumbai;Mumbai;/company/trakya-cam-sanayi-a;Trakya Cam Sanayi A._.;other;;;unknown;;60000000;2870
/company/hipbone;Hipbone;;;;unknown;;/company/kana-software;KANA Software;software;USA;CA;SF Bay;Sunnyvale;;2871
/company/hipchat;HipChat;messaging;USA;CA;SF Bay;San Francisco;/company/atlassian;Atlassian;enterprise;AUS;;Sydney;Sydney;;2872
/company/hipcricket;HipCricket;;USA;NY;New York;New York;/company/augme;Augme;advertising;USA;NY;New York;New York;44500000;2873
/company/hiplogic;HipLogic;mobile;USA;CA;SF Bay;Fremont;/company/zynga;Zynga;games_video;USA;CA;SF Bay;San Francisco;;2874
/company/hiprom;Hiprom;;ZAF;;Johannesburg;Johannesburg;/company/rockwell-automation;Rockwell Automation;hardware;USA;WI;Milwaukee;Milwaukee;;2875
/company/hipster;Hipster;web;USA;CA;SF Bay;San Francisco;/company/aol;AOL;news;USA;NY;New York;New York;;2876
/company/hireright;HireRight;other;USA;CA;Los Angeles;Irvine;/company/usis;USIS;;USA;VA;North Falls Church;North Falls Church;249000000;2877
/company/historx;HistoRx;biotech;USA;CT;New Haven;New Haven;/company/genoptix;Genoptix;;;;unknown;;;2878
/company/hitpost;Hitpost;sports;USA;CA;SF Bay;San Francisco;/company/yahoo;Yahoo!;web;USA;CA;SF Bay;Sunnyvale;;2879
/company/hive7;Hive7;games_video;USA;CA;SF Bay;Palo Alto;/company/playdom;Playdom;games_video;USA;CA;SF Bay;Palo Alto;5700000;2880
/company/hivelive;HiveLive;social;USA;CO;Denver;Boulder;/company/rightnow-technologies;RightNow Technologies;software;USA;MT;Bozeman;Bozeman;5600000;2881
/company/hiwired;HiWired;software;USA;MA;Boston;Needham;/company/radialpoint;Radialpoint;software;CAN;;Montreal;Montreal;;2882
/company/hls-freight-services;HLS Freight Services;;;;unknown;;/company/cardinal-health;Cardinal Health;;USA;OH;Columbus;Dublin;;2883
/company/hoak-media;Hoak Media;news;USA;TX;Dallas;Dallas;/company/gray-tv;Gray TV;news;USA;GA;TBD;NE Atlanta;;2884
/company/hob-entertainment;HOB Entertainment;;USA;CA;Los Angeles;Hollywood;/company/live-nation-entertainment;Live Nation Entertainment;games_video;USA;CA;Los Angeles;Beverly Hills;;2885
/company/hoem-automation-inc;Hoem Automation Inc.;;;;unknown;;/company/leviton;Leviton Manufacturing;hardware;USA;NY;Melville;Melville;;2886
/company/holiday-watchdog;Holiday Watchdog;web;GBR;;London;London;/company/tripadvisor;TripAdvisor;travel;USA;MA;Boston;Newton;;2887
/company/holiday-rentals-co-uk;Holiday-Rentals.co.uk;other;;;unknown;;/company/homeaway;HomeAway;travel;USA;TX;Austin;Austin;;2888
/company/holidaylettings-co-uk;holidaylettings.co.uk;other;GBR;;London;Oxford;/company/tripadvisor;TripAdvisor;travel;USA;MA;Boston;Newton;;2889
/company/holosofx;HOLOSOFX;;USA;CA;Los Angeles;El Segundo;/company/ibm;IBM;software;USA;NY;New York;Armonk;;2890
/company/home-comfort-zones;Home Comfort Zones;hardware;USA;OR;Portland;Beaverton;/company/emme-e2ms;Emme E2MS;cleantech;USA;OR;Portland;Beaverton;;2891
/company/home-account;Home-Account;finance;USA;CA;SF Bay;San Francisco;/company/bills-com;Bills.com;other;USA;CA;SF Bay;San Mateo;;2892
/company/homeadvisor;HomeAdvisor;web;USA;CO;Denver;Lakewood;/company/iac;IAC;news;USA;NY;New York;New York;;2893
/company/homehealthworker;HomeHealthWorker;;;;unknown;;/company/dignitek-health-technologies;Dignitek Health technologies;mobile;USA;NV;Las Vegas;Las Vegas;;2894
/company/homelights;Homelights;;;;unknown;;/company/lucibel;Lucibel;other;FRA;;Paris;RUEIL-MALMAISON;;2895
/company/homenet-automotive;HomeNet Automotive;software;USA;PA;Philadelphia;West Chester;/company/autotrader;AutoTrader.com;web;USA;;Atlanta;"Atlanta;";;2896
/company/homeplus;Homeplus;;;;unknown;;/company/tesco;Tesco;enterprise;GBR;;Cheshunt;Cheshunt;958000000;2897
/company/homerenovationguide;HomeRenovationGuide;web;;;unknown;;/company/avid-life-media;Avid Life Media;web;CAN;;Toronto;Toronto;;2898
/company/homerun;HomeRun;web;USA;CA;SF Bay;San Francisco;/company/deem;Deem;ecommerce;USA;CA;SF Bay;San Francisco;;2899
/company/homesav;HomeSav;ecommerce;CAN;;Toronto;Toronto;/company/rebellion-media;Rebellion Media Group;web;CAN;;Waterloo;Waterloo;;2900
/company/homesite;homesite;finance;USA;MA;Boston;Boston;/company/american-family-insurance;American Family Insurance;;;;unknown;;616000000;2901
/company/homestead-technologies;Homestead Technologies;web;USA;CA;SF Bay;Menlo Park;/company/intuit;Intuit;software;USA;CA;SF Bay;Mountain View;170000000;2902
/company/honico-software;HONICO Software;;;;unknown;;/company/flexera-software;Flexera Software;software;USA;IL;Chicago;Schaumburg;;2903
/company/hoopos-com;hoopos.com;ecommerce;IND;;Bangalore;Bangalore;/company/babyoye;Babyoye;ecommerce;IND;;India - Other;;;2904
/company/hoppit;Hoppit;search;USA;NY;New York;New York;/company/xo-group;XO Group;social;USA;NY;New York;New York;;2905
/company/hopscotch;Hopscotch;mobile;USA;CA;SF Bay;San Francisco;/company/sosh;Sosh;social;USA;CA;SF Bay;San Francisco;1000000;2906
/company/hopstop-com;HopStop.com;web;USA;NY;New York;New York;/company/apple;Apple;hardware;USA;CA;SF Bay;Cupertino;;2907
/company/horizon-software;Horizon Software International;software;USA;GA;Atlanta;Duluth;/company/roper-industries;Roper Industries;other;USA;FL;Sarasota;Sarasota;;2908
/company/horizon-wind-energy;Horizon Wind Energy;cleantech;USA;TX;Houston;Houston;/company/edpr;EDPR;enterprise;ESP;;Spain - Other;;;2909
/company/hornbeck-offshore;Hornbeck Offshore;transportation;USA;LA;New Orleans;Covington;/company/genesis-energy;Genesis Energy;cleantech;USA;TX;Texas - Other;;230000000;2910
/company/host-europe-group;Host Europe Group;other;GBR;;Uxbridge;Uxbridge;/company/cinven;Cinven;;GBR;;London;London;666000000;2911
/company/hostalia-internet;Hostalia Internet;;;;unknown;;/company/acens;acens;network_hosting;ESP;;Alcobendas;Alcobendas;;2912
/company/hostex;HOSTEX;network_hosting;LTU;;Vilnius;Vilnius;/company/baltic-data-center;Baltic Data Center;;;;unknown;;;2913
/company/hosting-com;Hosting.com;network_hosting;USA;KY;Louisville;Louisville;/company/hostmysite;Hostmysite;network_hosting;;;unknown;;;2914
/company/hosting365;hosting365;network_hosting;IRL;;Dublin;Dublin 12;/company/sungard;SunGard;software;USA;PA;Philadelphia;Wayne;;2915
/company/hostopia-com;Hostopia.com;software;USA;FL;Fort Lauderdale;Fort Lauderdale;/company/deluxe;Deluxe Corp;ecommerce;USA;MN;Minneapolis;Shoreview;124000000;2916
/company/hostraft-com;Hostraft.com;;;;unknown;;/company/appwapp;Appwapp;mobile;CAN;;Montreal;"Montreal; Qc";;2917
/company/hostroute-com;Hostroute.com;;GBR;;United Kingdom - Other;;/company/paragon-internet-group;Paragon Internet Group;network_hosting;GBR;;Berkshire;Berkshire;;2918
/company/hot-air;Hot Air;ecommerce;;;unknown;;/company/salem-communications;Salem Communications;other;USA;CA;Santa Barbara;Camarillo;;2919
/company/hotornot;HOT or NOT;web;USA;CA;SF Bay;San Francisco;/company/avid-life-media;Avid Life Media;web;CAN;;Toronto;Toronto;29000000;2920
/company/hotpotato;Hot Potato;social;USA;NY;New York;Brooklyn;/company/facebook;Facebook;social;USA;CA;SF Bay;Menlo Park;10000000;2921
/company/hotel-technology-solutions;Hotel Technology Solutions;;;;unknown;;/company/xeta-technologies;XETA Technologies;public_relations;USA;OK;Tulsa;Broken Arrow;;2922
/company/hotels-com;Hotels.com;;;;unknown;;/company/iac;IAC;news;USA;NY;New York;New York;;2923
/company/hotjobs;Hotjobs;;;;unknown;;/company/yahoo;Yahoo!;web;USA;CA;SF Bay;Sunnyvale;436000000;2924
/company/hotjobs;Hotjobs;;;;unknown;;/company/monster;Monster;search;USA;NY;New York;New York;225000000;2925
/company/hotpads-com;HotPads;search;USA;CA;SF Bay;San Francisco;/company/zillow;Zillow;real_estate;USA;WA;Seattle;Seattle;;2926
/company/hotsip;Hotsip;;SWE;;Stockholm;Stockholm;/company/oracle;Oracle Corporation;enterprise;USA;CA;SF Bay;Redwood City;;2927
/company/hotspots-io;Hotspots.io;;;;unknown;;/company/twitter;Twitter;social;USA;CA;SF Bay;San Francisco;;2928
/company/hotspur-technologies;Hotspur Technologies;;USA;CA;Mtn. View;Mtn. View;/company/teleflex;Teleflex;;USA;PA;Philadelphia;Limerick;;2929
/company/hotwire;Hotwire;web;USA;CA;SF Bay;San Francisco;/company/iac;IAC;news;USA;NY;New York;New York;;2930
/company/how-fast-they-grow;How Fast Time Flies;web;USA;CA;SF Bay;Alamo;/company/mypublisher;MyPublisher;software;USA;NY;New York;Valhalla;;2931
/company/hpi-group;HPI Group;software;GBR;;London;Salisbury;/company/solera-holdings;Solera Holdings;software;USA;CA;San Diego;San Diego;150000000;2932
/company/hq-gift-cards;HQ Gift Cards;;;;unknown;;/company/transcard;TransCard;other;USA;TN;Chattanooga;Chattanooga;;2933
/company/hradvance;HRAdvance;;USA;TX;Dallas;Dallas;/company/hewitt-associates;Hewitt Associates;;USA;IL;Chicago;Lincolnshire;;2934
/company/href-in;HREF.IN;web;;;unknown;;/company/href;HREF;web;ESP;;Madrid;Madrid;;2935
/company/hrvendors-com;HRVendors.com;enterprise;;;unknown;;/company/hrmarketer-com;HRmarketer.com;software;USA;CA;SF Bay;Capitola;;2936
/company/hti-technologies;HTI Technologies;software;USA;GA;Atlanta;Marietta;/company/superior-global-solutions;Superior Global Solutions;software;USA;TX;Dallas;Plano;;2937
/company/huawei-symantec;Huawei Symantec;;;;unknown;;/company/huawei;Huawei Technologies;network_hosting;CHN;;Shenzhen;Shenzhen;;2938
/company/hubspan;Hubspan;software;USA;WA;Seattle;Seattle;/company/liaison-technologies;Liaison Technologies;software;USA;GA;Atlanta;Alpharetta;;2939
/company/hudson-jeans;Hudson Jeans;ecommerce;USA;CA;Rancho Dominguez;Rancho Dominguez;/company/joes-jeans;Joe's Jeans;ecommerce;;;unknown;;97600000;2940
/company/huge-daily-deal;Huge Daily Deal;;;;unknown;;/company/crowdsavings;CrowdSavings.com;ecommerce;USA;FL;Tampa;Tampa;;2941
/company/hughes-telematics;Hughes Telematics;mobile;USA;GA;Atlanta;Atlanta;/company/verizon;"Verizon Communications; Inc.";mobile;USA;NY;New York;New York;612000000;2942
/company/hugin-group;Hugin Group;public_relations;;;unknown;;/company/thomson-reuters;Thomson Reuters;analytics;USA;NY;New York;New York;;2943
/company/humanoid;Humanoid;software;USA;CA;SF Bay;San Francisco;/company/cloudfactory;CloudFactory;enterprise;HKG;;Kowloon;Kowloon;;2944
/company/humedica;Humedica;health;USA;MA;Boston;Boston;/company/united-health;United Health;;;;unknown;;;2945
/company/humyo;humyo;software;GBR;;Leeds;Leeds;/company/trend-micro;Trend Micro;security;IND;;New Delhi;New Delhi;;2946
/company/hunch;Hunch;web;USA;NY;New York;New York;/company/ebay;eBay;ecommerce;USA;CA;SF Bay;San Jose;80000000;2947
/company/hungrygowhere;HungryGoWhere;;;;unknown;;/company/singtel;SingTel;public_relations;SGP;;Singapore;Singapore;9400000;2948
/company/hussar-grill;Hussar Grill;hospitality;ZAF;;Cape Town;Cape Town;/company/spur-corporation;Spur Corporation;hospitality;ZAF;;TBD;Century City;3300000;2949
/company/hy-tek-sports-software;HY-TEK Sports Software;software;USA;FL;Lakewood Ranch;Lakewood Ranch;/company/activenetwork;ACTIVE Network;software;USA;CA;San Diego;San Diego;;2950
/company/hybricon-corporation;Hybricon Corporation;;USA;MA;Boston;Ayer;/company/curtiss-wright;Curtiss-Wright;;USA;NJ;Parsippany;Parsippany;19000000;2951
/company/hybrid-coating-technologies;Hybrid Coating Technologies;cleantech;USA;CA;SF Bay;Daly City;/company/epod-solar-inc-epds-otc-bb;"EPOD Solar; Inc. (EPDS OTC BB)";;;;unknown;;;2952
/company/hybris;hybris;enterprise;DEU;;Muenchen;Muenchen;/company/sap;SAP;enterprise;DEU;;Walldorf;Walldorf;;2953
/company/hydra;Hydra Group;advertising;USA;CA;Los Angeles;Beverly Hills;/company/adknowledge;Adknowledge;advertising;USA;MO;Kansas City;Kansas City;;2954
/company/hyfn;HYFN;web;USA;CA;Los Angeles;Hermosa Beach;/company/lin-media-tvl;LIN Media (TVL);;;;unknown;;;2955
/company/hymotion;Hymotion;cleantech;CAN;;Concord;Concord;/company/a123systems;A123 Systems;nanotech;USA;MA;Boston;Watertown;;2956
/company/hyperbac-technologies;HyperBac Technologies;software;GBR;;United Kingdom - Other;;/company/red-gate-software;Red Gate Software;software;GBR;;London;Cambridge;;2957
/company/hypercom;Hypercom;security;USA;AZ;Phoenix;Scottsdale;/company/verifone;VeriFone;hardware;USA;CA;SF Bay;San Jose;485000000;2958
/company/hyperformix;Hyperformix;software;USA;TX;Austin;Austin;/company/ca;CA Technologies;software;USA;NY;Islandia;Islandia;;2959
/company/hyperic;Hyperic;software;USA;CA;SF Bay;Palo Alto;/company/springsource;SpringSource;software;USA;CA;SF Bay;San Mateo;;2960
/company/hyperion-solutions;Hyperion Solutions;;USA;CA;SF Bay;Santa Clara;/company/oracle;Oracle Corporation;enterprise;USA;CA;SF Bay;Redwood City;;2961
/company/hyperpublic;Hyperpublic;analytics;USA;NY;New York;New York;/company/groupon;Groupon;web;USA;IL;Chicago;Chicago;;2962
/company/hyperquest;HyperQuest;;USA;IL;Chicago;Buffalo Grove;/company/solera-holdings;Solera Holdings;software;USA;CA;San Diego;San Diego;;2963
/company/hyperroll;HyperRoll;enterprise;USA;CA;SF Bay;Mountain View;/company/oracle;Oracle Corporation;enterprise;USA;CA;SF Bay;Redwood City;;2964
/company/hyperweek;HyperWeek;social;CHE;;Geneva;Geneva;/company/knowledge-plaza;Knowledge Plaza;;;;unknown;;;2965
/company/hypnotix;Hypnotix;;;;unknown;;/company/electronicarts;Electronic Arts;games_video;USA;WA;SF Bay;Redwood City;;2966
/company/hyves;Hyves;web;;;unknown;;/company/telegraaf-media-groep-tmg;Telegraaf Media Groep (TMG);advertising;NLD;;Amsterdam;Amsterdam;;2967
/company/hyway-ferranti;HyWay Ferranti;;;;unknown;;/company/adobe-systems;Adobe Systems;software;USA;CA;SF Bay;San Jose;;2968
/company/i-to-i-technology;I TO I Technology;;ZAF;;Stellenbosch;Stellenbosch;/company/zaptronix;Zaptronix;;;;unknown;;;2969
/company/i-amtv;i-amtv;;IRL;;Dublin;Dublin;/company/intelligent-communication-enterprise-corporation;Intelligent Communication Enterprise Corporation;;;;unknown;;;2970
/company/i-cubed;I-Cubed;finance;USA;NC;Raleigh-Durham;Raleigh;/company/davy;Davy;finance;;;unknown;;;2971
/company/i-flow-corporation;I-Flow Corporation;;;;unknown;;/company/kimberly-clark-corporation;Kimberly-Clark Corporation;;;;unknown;;324000000;2972
/company/i-mobilize;i-Mobilize;software;USA;;United States - Other;;/company/metatron;Metatron;software;USA;DE;Dover;Dover;;2973
/company/i-motion;I-Motion;games_video;DEU;;TBD;Koblenz District Court;/company/sfx-entertainment;SFX Entertainment;games_video;USA;NY;New York;New York;21000000;2974
